
X [ m ], Y [ m ], Z [ m ], Velocity u [ m s^-1 ]
5.87500000e+00, 5.70959330e+00, -1.02500000e+01, 1.45595193e+00
5.87500000e+00, 5.69545174e+00, -1.02500000e+01, 1.38628078e+00
5.87500000e+00, 5.68131018e+00, -1.02500000e+01, 1.31519592e+00
5.87500000e+00, 5.66716862e+00, -1.02500000e+01, 1.24352384e+00
5.87500000e+00, 5.65302706e+00, -1.02500000e+01, 1.17185163e+00
5.87500000e+00, 5.63888550e+00, -1.02500000e+01, 1.09925151e+00
5.87500000e+00, 5.62474394e+00, -1.02500000e+01, 1.02604318e+00
5.87500000e+00, 5.61060238e+00, -1.02500000e+01, 9.52834010e-01
5.87500000e+00, 5.59646082e+00, -1.02500000e+01, 8.79624486e-01
5.87500000e+00, 5.58231926e+00, -1.02500000e+01, 8.05106878e-01
5.87500000e+00, 5.56817770e+00, -1.02500000e+01, 7.30981350e-01
5.87500000e+00, 5.55403614e+00, -1.02500000e+01, 6.55551195e-01
5.87500000e+00, 5.53989458e+00, -1.02500000e+01, 5.78919113e-01
5.87500000e+00, 5.52575302e+00, -1.02500000e+01, 5.02286792e-01
5.87500000e+00, 5.51161146e+00, -1.02500000e+01, 4.25654531e-01
5.87500000e+00, 5.49746990e+00, -1.02500000e+01, 3.49022180e-01
5.87500000e+00, 5.48332834e+00, -1.02500000e+01, 2.72389710e-01
5.87500000e+00, 5.46918678e+00, -1.02500000e+01, 1.95756912e-01
5.87500000e+00, 5.45504522e+00, -1.02500000e+01, 1.18614018e-01
5.87500000e+00, 5.44090366e+00, -1.02500000e+01, 4.04332206e-02
5.87500000e+00, 5.42676210e+00, -1.02500000e+01, -3.77471447e-02
5.87500000e+00, 5.41262054e+00, -1.02500000e+01, -9.36453119e-02
5.87500000e+00, 5.39847898e+00, -1.02500000e+01, -1.42096996e-01
5.87500000e+00, 5.38433743e+00, -1.02500000e+01, -1.90548807e-01
5.87500000e+00, 5.37019587e+00, -1.02500000e+01, -2.33530372e-01
5.87500000e+00, 5.35605431e+00, -1.02500000e+01, -2.69836098e-01
5.87500000e+00, 5.34191275e+00, -1.02500000e+01, -3.02996725e-01
5.87500000e+00, 5.32777119e+00, -1.02500000e+01, -3.36158156e-01
5.87500000e+00, 5.31362963e+00, -1.02500000e+01, -3.70268047e-01
5.87500000e+00, 5.29948807e+00, -1.02500000e+01, -4.05633360e-01
5.87500000e+00, 5.28534651e+00, -1.02500000e+01, -4.40998733e-01
5.87500000e+00, 5.27120495e+00, -1.02500000e+01, -4.76364374e-01
5.87500000e+00, 5.25706339e+00, -1.02500000e+01, -5.02469957e-01
5.87500000e+00, 5.24292183e+00, -1.02500000e+01, -5.21410823e-01
5.87500000e+00, 5.22878027e+00, -1.02500000e+01, -5.40351450e-01
5.87500000e+00, 5.21463871e+00, -1.02500000e+01, -5.60323179e-01
5.87500000e+00, 5.20049715e+00, -1.02500000e+01, -5.80492318e-01
5.87500000e+00, 5.18635559e+00, -1.02500000e+01, -5.97611964e-01
